loss,mape,val_loss,val_mape
0.012643765658140182,138444.40625,0.004667522851377726,101110.8046875
0.005135400220751762,17864.556640625,0.0032431120052933693,82904.4140625
0.003860200522467494,12562.1064453125,0.0040967706590890884,158447.3125
0.003559575881808996,13001.0849609375,0.0035285905469208956,131848.953125
0.00344327325001359,14727.2509765625,0.0029553521890193224,88726.3671875
0.0033033592626452446,12247.5712890625,0.003008156782016158,100492.15625
0.003177821869030595,17972.890625,0.003208361566066742,35492.8359375
0.0031939258333295584,15655.103515625,0.0031818964052945375,34586.3671875
0.003112820442765951,12312.01953125,0.0028650029562413692,84574.6953125
0.0031040157191455364,18777.982421875,0.00279998523183167,55835.1015625
